institute_num,semester,course_name,studyyear,course_name_tomatch,matched_name,matched_name_full,matched_id,matched_dist
2200,F16,Økonomisk Historie (Undervisning),15/16,Økonomisk Historie , Økonomisk historie, Økonomisk historie,AØKA08002U ,2
2200,F16,Philosophy Of Science (Undervisning),15/16,Philosophy Of Science , Philosophy of Science, Philosophy of Science,AØKA08003U ,2
2200,F16,Microeconomics Iii (Micro C),15/16,Microeconomics Iii , Microeconomics III , Microeconomics III (former Micro C),AØKA08005U ,1
2200,F16,Macroeconomics Iii (Macro C),15/16,Macroeconomics Iii , Macroeconomics III , Macroeconomics III (former Macro C),AØKA08006U ,1
2200,F16,Economics Of Welfare (Class),15/16,Economics Of Welfare , Economics of Welfare, Economics of Welfare,AØKA08187U ,2
2200,F16,Datamatik 1 (Undervisning),15/16,Datamatik 1 , Datamatik 1 , Datamatik 1 (inkl sommerskole),AØKA08013U ,1
2200,F16,Development Economics (Class),15/16,Development Economics , Development Economics, Development Economics,AØKA08031U ,2
2200,F16,Economic Growth,15/16,Economic Growth, Economic Growth , Economic Growth (F),AØKA08089U ,2
2200,F16,Erhvervsret (Undervisning),15/16,Erhvervsret , Erhvervsret , Erhvervsret (F),AØKA08017U ,1
2200,F16,Industrial Organization (Class),15/16,Industrial Organization , Industrial Organization, Industrial Organization,AØKA08020U ,2
2200,F16,International Economics (Class),15/16,International Economics , International Economics , International Economics (F),AØKA08021U ,1
2200,F16,Private Equity (Class),15/16,Private Equity , Skatteret , Skatteret (F),AØKA08075U ,10
2200,F16,Public Finance (Class),15/16,Public Finance , Public Finance, Public Finance,AØKA08035U ,2
2200,F16,Regnskabsanalyse Og Aktievurdering (Undervisning),15/16,Regnskabsanalyse Og Aktievurdering , Regnskabsanalyse og aktievurdering , Regnskabsanalyse og aktievurdering (F),AØKA08073U ,1
2200,F16,Skatteret (Undervisning),15/16,Skatteret , Skatteret , Skatteret (F),AØKA08075U ,1
2200,F16,Programmering Og Statistik Med Sas (Undervisning),15/16,Programmering Og Statistik Med Sas , Programmering og statistik med SAS, Programmering og statistik med SAS,AØKA08186U ,2
2200,F16,Ict-Applied (Class),15/16,Ict-Applied , ICT-Applied, ICT-Applied,AØKA08161U ,2
2200,F16,Economics Of Banking (Class),15/16,Economics Of Banking , Economics of Banking , Economics of Banking (F),AØKA08069U ,1
2200,F16,Managerial Accounting,15/16,Managerial Accounting, Managerial Accounting , Managerial Accounting (F),AØKK08092U ,2
2200,F16,"Miljø-, Ressource- Og Klimaøkonomi",15/16,"Miljø-, Ressource- Og Klimaøkonomi"," Miljø-, ressource- og klimaøkonomi"," Miljø-, ressource- og klimaøkonomi",AØKK08094U ,1
2200,F16,Pricing Financial Assets,15/16,Pricing Financial Assets, Pricing Financial Assets , Pricing Financial Assets (F),AØKK08095U ,2
2200,F16,Marketing,15/16,Marketing, Marketing, Marketing,AØKA08202U ,1
2200,F16,The Psychology Of Choice - Experimental Theory And Methods,15/16,The Psychology Of Choice - Experimental Theory And Methods, The Psychology of Choice - Experimental Theory and Methods, The Psychology of Choice - Experimental Theory and Methods,AØKK08117U ,1
2200,F16,Financial Markets (Class),15/16,Financial Markets , Financial Markets , Financial Markets (F),AØKA08212U ,1
2200,F16,Labour Economics (Class),15/16,Labour Economics , Labour Economics, Labour Economics,AØKA08065U ,2
2200,F16,Fixed Income Derivatives (Class),15/16,Fixed Income Derivatives , Econometrics II , Econometrics II (former Econometrics C),AØKA08007U ,16
2200,F16,Adv. Macroeconometrics,15/16,Adv. Macroeconometrics, Advanced Microeconometrics, Advanced Microeconometrics,AØKA08084U ,7
2200,F16,Mechanism Design (English Exam),15/16,Mechanism Design , Mechanism design, Mechanism design,AØKK08201U ,2
2200,F16,Monetary Policy,15/16,Monetary Policy, Tax Policy, Tax Policy,AØKA08185U ,6
2200,F16,Health Economic Evaluations,15/16,Health Economic Evaluations, Health Economic Evaluations, Health Economic Evaluations,AØKK08210U ,1
2200,F16,Offentlig Forvaltning - Jura Og Politik,15/16,Offentlig Forvaltning - Jura Og Politik, Offentlig Forvaltning og Politik , Offentlig Forvaltning og Politik (Tidligere Forvaltningslære),AØKA08219U ,9
2200,F16,"Dynamic Programming - Theory, Computation, And Empirical Applications",15/16,"Dynamic Programming - Theory, Computation, And Empirical Applications"," Dynamic Programming - Theory, Computation, and Empirical Applications"," Dynamic Programming - Theory, Computation, and Empirical Applications",AØKK08207U ,1
2200,F16,Economic Sociology,15/16,Economic Sociology, Economic Sociology, Economic Sociology,AØKB08030U ,1
2200,F16,Økonomiske Prognoser I Praksis (Undervisning),15/16,Økonomiske Prognoser I Praksis , Økonomiske prognoser i praksis, Økonomiske prognoser i praksis,AØKA08091U ,2
2200,E15,Financial Econometrics A,15/16,Financial Econometrics A, Financial Econometrics A , Financial Econometrics A (F),AØKA08216U ,2
2200,E15,Forvaltningsret (Undervisning),15/16,Forvaltningsret , Forvaltningsret, Forvaltningsret,AØKA08019U ,2
2200,E15,Øvelse: Cost-Benefit Analyser I Praksis,15/16, Cost-Benefit Analyser I Praksis, Cost Benefit analyser i praksis  IKKE I F16, Øvelse: Cost Benefit analyser i praksis UDBYDES IKKE I F16,AØKK08048U ,13
2200,E15,Seminar: Strategic Management,15/16, Strategic Management, Strategic Management, Strategic Management,AØKA08101U ,0
2200,E15,Øvelse: Velfærdsstatens Udfordringer,15/16, Velfærdsstatens Udfordringer, Velfærdsstatens udfordringer, Øvelse: Velfærdsstatens udfordringer,AØKK08083U ,0
2200,E15,Øvelse: Virksomhedsanalyse Og Værdiansættelse,15/16, Virksomhedsanalyse Og Værdiansættelse, Virksomhedsanalyse og værdiansættelse , Øvelse: Virksomhedsanalyse og værdiansættelse (F),AØKK08084U ,1
2200,E15,Seminar: Applied Corporate Finance,15/16, Applied Corporate Finance, Applied Corporate Finance , Seminar: Applied Corporate Finance (F),AØKK08116U ,1
2200,E15,Seminar: Leadership And Project Management,15/16, Leadership And Project Management, Leadership and Project Management, Seminar: Leadership and Project Management,AØKK08124U ,0
2200,E15,Seminar: Financial Market Microstructure,15/16, Financial Market Microstructure, Financial Market Microstructure , Seminar: Financial Market Microstructure (F),AØKK08140U ,1
2200,E15,Seminar: Experiments In Economics,15/16, Experiments In Economics, Experiments in Economics, Seminar: Experiments in Economics,AØKK08141U ,0
2200,E15,Sem: Policy Evaluation Methods,15/16, Policy Evaluation Methods, Policy Evaluation Methods, Seminar: Policy Evaluation Methods,AØKK08328U ,0
2200,E15,Sem: Macro Labour Economics,15/16, Macro Labour Economics, Macro Labour Economics, Seminar: Macro Labour Economics,AØKK08330U ,0
2200,E15,Sem: Health Economic Analysis,15/16, Health Economic Analysis, Health economic analysis, Seminar: Health economic analysis,AØKK08331U ,0
2200,E15,Seminar:Bayesian Econometrics,15/16,Bayesian Econometrics, Bayesian Econometrics, Seminar: Bayesian Econometrics,AØKK08333U ,1
2200,F16,Seminar: Strategic Management,15/16, Strategic Management, Strategic Management, Strategic Management,AØKA08101U ,0
2200,F16,Seminar: Applied Corporate Finance,15/16, Applied Corporate Finance, Applied Corporate Finance , Seminar: Applied Corporate Finance (F),AØKK08116U ,1
2200,F16,Seminar: Policy Evaluation Methods,15/16, Policy Evaluation Methods, Policy Evaluation Methods, Seminar: Policy Evaluation Methods,AØKK08328U ,0
2200,F16,Foundations Of Behavioral Economics,15/16,Foundations Of Behavioral Economics, Foundations of Behavioural Economics, Foundations of Behavioural Economics,AØKK08334U ,2
2200,F16,Seminar: Economics Of Education,15/16, Economics Of Education, Economics of Education, Economics of Education,AØKA08209U ,0
2200,F16,Seminar: Fundamental Determinants Of Economic Performance,15/16, Fundamental Determinants Of Economic Performance, Fundamental Determinants of Economic Performance, Seminar: Fundamental Determinants of Economic Performance,AØKK08337U ,0
2200,F16,Seminar: Globalization & Labor Markets,15/16, Globalization & Labor Markets, Globalization & Labor Markets, Seminar: Globalization & Labor Markets,AØKK08339U ,0
2200,F16,Seminar: Public Economics,15/16, Public Economics, Public Economics, Seminar: Public Economics,AØKK08340U ,0
2200,F16,Øvelse: Danmark Og Bankunionen,15/16, Danmark Og Bankunionen, Economics of Banking , Economics of Banking (F),AØKA08069U ,13
2200,F16,Seminar: Financing Of The Health Care Sector,15/16, Financing Of The Health Care Sector, Financing of the health care sector , Seminar: Financing of the health care sector (F),AØKK08322U ,1
2200,F16,Seminar: Empirical Health Economics,15/16, Empirical Health Economics, Empirical Health Economics, Seminar: Empirical Health Economics,AØKK08325U ,0
2200,E15,Advanced Industrial Organization (Class),15/16,Advanced Industrial Organization , Industrial Organization, Industrial Organization,AØKA08020U ,9
2200,E15,Advanced Macroeconomics,15/16,Advanced Macroeconomics, Advanced Macroeconomics, Advanced Macroeconomics,AØKA08098U ,1
2200,E15,Advanced Microeconometrics (Class),15/16,Advanced Microeconometrics , Advanced Microeconometrics, Advanced Microeconometrics,AØKA08084U ,2
2200,E15,Behavioral Economics And Finance 7½ Ects (Class),15/16,Behavioral Economics And Finance 7½  , Behavioral Economics and Finance , Behavioral Economics and Finance (F),AØKA08166U ,5
2200,E15,Econometrics Ii (Econometrics C),15/16,Econometrics Ii , Econometrics II , Econometrics II (former Econometrics C),AØKA08007U ,1
2200,E15,Advanced Development Economics - Macro Aspects (Class),15/16,Advanced Development Economics - Macro Asp , Advanced Development Economics - Macro Asp, Advanced Development Economics - Macro Aspects,AØKA08087U ,2
2200,E15,Lineære Modeller,15/16,Lineære Modeller, Lineære modeller , Lineære modeller inkl sommerskole,AØKA08189U ,2
2200,E15,Dynamiske Modeller (Undervisning),15/16,Dynamiske Modeller , Dynamiske Modeller , Dynamiske Modeller inkl sommerskole,AØKA08191U ,1
2200,E15,Anvendte Generelle Ligevægtsmodeller (Undervisning),15/16,Anvendte Generelle Ligevægtsmodeller , Anvendte generelle ligevægtsmodeller 7½ , Anvendte generelle ligevægtsmodeller 7½ ECTS,AØKA08051U ,4
2200,E15,Økonomiske Principper A (Undervisning),15/16,Økonomiske Principper A , Økonomiske principper A, Økonomiske principper A,AØKB08001U ,2
2200,E15,Økonomiske Principper B (Undervisning),15/16,Økonomiske Principper B , Økonomiske principper B, Økonomiske principper B,AØKB08002U ,2
2200,E15,Samfundsbeskrivelse A (Undervisning),15/16,Samfundsbeskrivelse A , Samfundsbeskrivelse A, Samfundsbeskrivelse A,AØKB08003U ,2
2200,E15,Samfundsbeskrivelse B (Undervisning),15/16,Samfundsbeskrivelse B , Samfundsbeskrivelse B, Samfundsbeskrivelse B,AØKB08004U ,2
2200,E15,Erhvervsøkonomi (Undervisning),15/16,Erhvervsøkonomi , Erhvervsøkonomi, Erhvervsøkonomi,AØKB08005U ,2
2200,E15,Matematik A (Undervisning),15/16,Matematik A , Matematik A, Matematik A,AØKB08006U ,2
2200,E15,Matematik B (Undervisning),15/16,Matematik B , Matematik B, Matematik B,AØKB08007U ,2
2200,E15,Mikroøkonomi I (Tidl. Mikro A),15/16,Mikroøkonomi I , Mikroøkonomi I , Mikroøkonomi I (tidligere Mikro A),AØKB08015U ,1
2200,E15,Mikroøkonomi Ii (Tidl. Mikro B),15/16,Mikroøkonomi Ii , Mikroøkonomi II , Mikroøkonomi II (tidligere Mikro B),AØKB08016U ,1
2200,E15,Makroøkonomi I (Tidl Makro A),15/16,Makroøkonomi I , Makroøkonomi I , Makroøkonomi I (tidligere Makro A),AØKB08017U ,1
2200,E15,Makroøkonomi Ii (Tidl Makro B),15/16,Makroøkonomi Ii , Makroøkonomi II , Makroøkonomi II (tidligere Makro B),AØKB08018U ,1
2200,E15,Sandsynlighedsteori Og Statistik (Tidl Økonometri A),15/16,Sandsynlighedsteori Og Statistik , Sandsynlighedsteori og statistik , Sandsynlighedsteori og statistik (tidligere Økonometri A),AØKB08019U ,1
2200,E15,Økonometri I (Tidl Økonometri B),15/16,Økonometri I , Økonometri I , Økonometri I (tidligere Økonometri B),AØKB08020U ,1
2200,E15,Økonomisk Historie (Undervisning),15/16,Økonomisk Historie , Økonomisk historie, Økonomisk historie,AØKA08002U ,2
2200,E15,Microeconomics Iii (Micro C),15/16,Microeconomics Iii , Microeconomics III , Microeconomics III (former Micro C),AØKA08005U ,1
2200,E15,Macroeconomics Iii (Macro C),15/16,Macroeconomics Iii , Macroeconomics III , Macroeconomics III (former Macro C),AØKA08006U ,1
2200,E15,Corporate Finance And Incentives (Undervisning),15/16,Corporate Finance And Incentives , Corporate Finance and Incentives , Corporate Finance and Incentives (F),AØKA08012U ,1
2200,E15,Datamatik 1 (Undervisning),15/16,Datamatik 1 , Datamatik 1 , Datamatik 1 (inkl sommerskole),AØKA08013U ,1
2200,E15,Health Economics (Class),15/16,Health Economics , Health Economics, Health Economics,AØKA08079U ,2
2200,E15,The Danish Welfare Model (Class),15/16,The Danish Welfare Model , Lineære modeller , Lineære modeller inkl sommerskole,AØKA08189U ,16
2200,E15,History Of Economic Thought (Class),15/16,History Of Economic Thought , History of Economic Thought, History of Economic Thought,AØKA08030U ,2
2200,E15,Game Theory (Class),15/16,Game Theory , Game Theory , Game Theory (F),AØKA08076U ,1
2200,E15,Ict-Applied (Class),15/16,Ict-Applied , ICT-Applied, ICT-Applied,AØKA08161U ,2
2200,E15,Multivariat Analyse Og Kategoriserede Data (Undervisning),15/16,Multivariat Analyse Og Kategoriserede Data , Multivariat analyse og kategoriserede data, Multivariat analyse og kategoriserede data,AØKA08070U ,2
2200,E15,Operation Research (Class),15/16,Operation Research , Erhvervsret , Erhvervsret (F),AØKA08017U ,13
2200,E15,Strategic Management (Class),15/16,Strategic Management , Strategic Management, Strategic Management,AØKA08101U ,2
2200,E15,Tax Policy (Class),15/16,Tax Policy , Tax Policy, Tax Policy,AØKA08185U ,2
2200,E15,Telecommunications Economics (Class),15/16,Telecommunications Economics , Telecommunications Economics , Seminar: Telecommunications Economics CANCELED,AØKK08058U ,1
2200,E15,Economics Of The European Union (Class),15/16,Economics Of The European Union , Economics of the European Union , Economics of the European Union (EU),AØKA08081U ,1
2200,E15,Årsregnskab Og Regnskabsanalyse (Undervisning),15/16,Årsregnskab Og Regnskabsanalyse , Årsregnskab og regnskabsanalyse, Årsregnskab og regnskabsanalyse,AØKA08036U ,2
2200,E15,Political Economics (Class),15/16,Political Economics , Political Economics, Political Economics,AØKK08089U ,2
2200,E15,Corporate Finance Theory,15/16,Corporate Finance Theory, Corporate Finance Theory , Corporate Finance Theory (F),AØKK08202U ,2
2200,E15,"Financial Frictions, Liquidity And The Business Cycle",15/16,"Financial Frictions, Liquidity And The Business Cycle"," Financial Frictions, Liquidity, and the Business Cycle  "," Financial Frictions, Liquidity, and the Business Cycle (F) Incl summerschool",AØKK08206U ,4
2200,E15,Economics Of Education (English Exam),15/16,Economics Of Education , Economics of Education, Economics of Education,AØKA08209U ,2
2200,E15,Adv. Dev. Ec. : Applied Macroeconomics And Policy Analysis,15/16, Applied Macroeconomics And Policy Analysis, Applied Macroeconomic and Policy Analysis, Advanced Development Economics: Applied Macroeconomic and Policy Analysis,AØKK08198U ,1
2200,E15,Science Of Behavior Change (English),15/16,Science Of Behavior Change , Science of behavior change, Science of behavior change,AØKA08218U ,2
2200,E15,International Macroeconomics,15/16,International Macroeconomics, International Macroeconomics , International Macroeconomics (F),AØKK08212U ,2
2200,E15,Advanced International Trade,15/16,Advanced International Trade, Advanced International Trade, Advanced International Trade,AØKK08214U ,1
2200,E15,Social Data Science,15/16,Social Data Science, Social Data Science, Social Data Science,AØKK08216U ,1
2200,E15,Organizations And Incentives (Gb),15/16,Organizations And Incentives , Organizations and Incentives, Organizations and Incentives,AØKK08218U ,2
2200,E15,Anvendte Generelle Ligevægtsmodeller,15/16,Anvendte Generelle Ligevægtsmodeller, Anvendte generelle ligevægtsmodeller 7½ , Anvendte generelle ligevægtsmodeller 7½ ECTS,AØKA08051U ,5
2300,E15,Politologisk Grundkursus,15/16,Politologisk Grundkursus, Politologisk grundkursus, Politologisk grundkursus,ASTB05001U ,1
2300,E15,Politisk Teori Og Idéhistorie,15/16,Politisk Teori Og Idéhistorie, Politisk teori og idéhistorie, Politisk teori og idéhistorie,ASTB05002U ,1
2300,E15,Videnskabsteori Og Metodologi,15/16,Videnskabsteori Og Metodologi, Videnskabsteori & Metodologi , Videnskabsteori & Metodologi (VM),ASTB12001U ,4
2300,F16,Metode 2,15/16,Metode 2, Metode 2, Metode 2,ASTB05009U ,1
2300,F16,International Forvaltning,15/16,International Forvaltning, National forvaltning, National forvaltning,ASTB12007U ,5
2300,F16,Offentlig Ret,15/16,Offentlig Ret, Offentlig ret, Offentlig ret,ASTB05018U ,1
2300,F16,Bachelorprojekt,15/16,Bachelorprojekt, Bachelorprojekt, Bachelorprojekt,ASTB05020U ,1
2300,F16,Sociologi,15/16,Sociologi, Sociologi, Sociologi,ASTB12002U ,1
2300,F16,Almen Statskundskab,15/16,Almen Statskundskab, Almen Statskundskab, Almen Statskundskab,ASTB12003U ,1
2300,F16,Mikroøkonomi,15/16,Mikroøkonomi, Mikroøkonomi, Mikroøkonomi,ASTB12005U ,1
2300,F16,Politisk Deltagelse Og Mobilisering,15/16,Politisk Deltagelse Og Mobilisering, Politisk deltagelse og mobilisering, SEMINAR: Politisk deltagelse og mobilisering,ASTK15641U ,1
2300,F16,Jean Monnet: The Eu As An International Actor,15/16, The Eu As An International Actor, The EU as an International Actor, COURSE: JEAN MONNET: The EU as an International Actor,ASTK15396U ,0
2300,F16,Ethnic Conflict.,15/16,Ethnic Conflict., Ethnic Conflict, COURSE: Ethnic Conflict,ASTK15397U ,2
2300,F16,African Politics.,15/16,African Politics., African politics, COURSE: African politics,ASTK15398U ,2
2300,F16,The Politics And Economics Of Aid.,15/16,The Politics And Economics Of Aid., The Politics and Economic of Aid, COURSE: The Politics and Economic of Aid,ASTK15399U ,3
2300,F16,Globalization And The European Union.,15/16,Globalization And The European Union., Globalization and the European Union, COURSE: Globalization and the European Union,ASTK15400U ,2
2300,F16,Theories And Issues In International Political Economy.,15/16,Theories And Issues In International Political Economy., Theories and Issues in International Politiclal Economy, COURSE: Theories and Issues in International Politiclal Economy,ASTK15402U ,3
2300,F16,"Multipolarity, Multilateralism And Megatrade Agreements: A New Global Trading Order?",15/16, A New Global Trading Order?, A new global trading order?," COURSE: Multipolarity, multilateralism and mega-trade agreements: A new global trading order?",ASTK15403U ,0
2300,F16,Sociological Approaches In International Relations,15/16,Sociological Approaches In International Relations, Sociological approaches in International Relations, COURSE: Sociological approaches in International Relations,ASTK15404U ,1
2300,F16,"Finanspolitik Og Den Offentlige Sektor. Fokus På Teori Og Praksis I Danmark, Dvs. Stat, Regioner Og Kommuner.",15/16,"Finanspolitik Og Den Offentlige Sektor. Fokus På Teori Og Praksis I Danmark, Dvs. Stat, Regioner Og Kommuner."," finanspolitik og den offentlige sektor. Fokus på teori og praksis i Danmark, dvs. stat, regioner og kommuner"," UDBUD: finanspolitik og den offentlige sektor. Fokus på teori og praksis i Danmark, dvs. stat, regioner og kommuner",ASTK15406U ,2
2300,F16,Introduction To Game Theory.,15/16,Introduction To Game Theory., Introduction to Game Theory, COURSE: Introduction to Game Theory,ASTK15347U ,2
2300,F16,Globalization And Economic Policy.,15/16,Globalization And Economic Policy., Globalization and economic policy, COURSE: Globalization and economic policy,ASTK15408U ,2
2300,F16,Advanced Quantitative Methods In Political Science.,15/16,Advanced Quantitative Methods In Political Science., Advanced Quantitative Methods in Political Science, COURSE: Advanced Quantitative Methods in Political Science,ASTK15409U ,2
2300,F16,Fattigdom Og Ulighed.,15/16,Fattigdom Og Ulighed., Fattigdom og ulighed, SEMINAR: Fattigdom og ulighed,ASTK15642U ,2
2300,F16,Køn Og Politik,15/16,Køn Og Politik, Køn og politik, SEMINAR: Køn og politik,ASTK15644U ,1
2300,F16,Contemporary Political Theory.,15/16,Contemporary Political Theory., Contemporary Political Theory, SEMINAR: Contemporary Political Theory,ASTK15645U ,2
2300,F16,I Slotsholmens Maskinrum: Økonomiske Perspektiver På Policydesign I Den Danske Velfærdsstat.,15/16, Økonomiske Perspektiver På Policydesign I Den Danske Velfærdsstat., Økonomiske perspektiver på policydesign i den danske velfærdisstat, SEMINAR: I Slotsholmens maskinrum: Økonomiske perspektiver på policydesign i den danske velfærdisstat,ASTK15646U ,2
2300,F16,Viden Og Evidens I Politik Og Praksis.,15/16,Viden Og Evidens I Politik Og Praksis., Viden og evidens i politik og praksis, SEMINAR: Viden og evidens i politik og praksis,ASTK15647U ,2
2300,F16,Sådan Tænker Journalister,15/16,Sådan Tænker Journalister, Sådan tænker journalister, SEMINAR: Sådan tænker journalister,ASTK15648U ,1
2300,F16,Dansk Udenrigspolitik Efter Den Kolde Krig: Teori Og Empiri.,15/16, Teori Og Empiri., Teori og empiri, SEMINAR: Dansk udenrigspolitik efter den kolde krig: Teori og empiri,ASTK15649U ,1
2300,F16,Advanced Political Economy Of The Eu.,15/16,Advanced Political Economy Of The Eu., Advanced political economy of the EU, SEMINAR: Advanced political economy of the EU,ASTK15650U ,2
2300,F16,Byer Og Regioner Som Vækstdrivere ¿ Analyser Og Initiativer.,15/16,Byer Og Regioner Som Vækstdrivere ¿ Analyser Og Initiativer., Byer og regioner som vækstdrivere - analyser og initiativer, SEMINAR: Byer og regioner som vækstdrivere - analyser og initiativer,ASTK15651U ,3
2300,F16,Byer Og Regioner Som Vækstdrivere - Analyser Og Initiativer.,15/16,Byer Og Regioner Som Vækstdrivere - Analyser Og Initiativer., Byer og regioner som vækstdrivere - analyser og initiativer, SEMINAR: Byer og regioner som vækstdrivere - analyser og initiativer,ASTK15651U ,2
2300,F16,Videregående Kvalitative Analyser Med Nvivo.,15/16,Videregående Kvalitative Analyser Med Nvivo., Videregående kvalitative analyser med NVivo, SEMINAR: Videregående kvalitative analyser med NVivo,ASTK15652U ,2
2300,F16,Academic Interviews,15/16,Academic Interviews, Academic Interviewing, COURSE: Academic Interviewing,ASTK15653U ,4
2300,F16,Skriftlig Og Digital Formidling.,15/16,Skriftlig Og Digital Formidling., Skriftlig og digital formidling, SEMINAR: Skriftlig og digital formidling,ASTK15321U ,2
2300,F16,"Det Finansielle System - Funktion, Krise Og Regulering.",15/16,"Det Finansielle System - Funktion, Krise Og Regulering."," Det finansielle system - Funktion, krise og regulering"," UDBUD: Det finansielle system - Funktion, krise og regulering",ASTK15377U ,2
2300,F16,An American Perspective On Political Campaigns.,15/16,An American Perspective On Political Campaigns., An American Perspective on Political Campaigns, COURSE: An American Perspective on Political Campaigns,ASTK15378U ,2
2300,F16,Comparative Lobbying And Lobbying Regulations.,15/16,Comparative Lobbying And Lobbying Regulations., Comparative lobbying and lobbying regulation, Course: Comparative lobbying and lobbying regulation,ASTK15343U ,3
2300,F16,Governments In Parliamentary Democracies. Who Gets In? Who Gets What? How Long Do They Last?,15/16,Governments In Parliamentary Democracies. Who Gets In? Who Gets What? How Long Do They Last?, Governments in parliamentary democracies. Who gets in? Who gets what? How lang do they last?, CANCELLED - COURSE: Governments in parliamentary democracies. Who gets in? Who gets what? How lang do they last?,ASTK15380U ,2
2300,F16,"Authority, Sovereignty, Power.",15/16,"Authority, Sovereignty, Power."," Authority, Sovereignty, Power"," COURSE: Authority, Sovereignty, Power",ASTK15382U ,2
2300,F16,Democratic Challenge.,15/16,Democratic Challenge., Democratic Challenge, COURSE: Democratic Challenge,ASTK15384U ,2
2300,F16,Democratic Challenge,15/16,Democratic Challenge, Democratic Challenge, COURSE: Democratic Challenge,ASTK15384U ,1
2300,F16,Strategisk Styring I Den Offentlige Sektor.,15/16,Strategisk Styring I Den Offentlige Sektor., Strategisk styring i den offentlige sektor, UDBUD: Strategisk styring i den offentlige sektor,ASTK15386U ,2
2300,F16,Medier Og Politik.,15/16,Medier Og Politik., Medier og politik, UDBUD: Medier og politik,ASTK15387U ,2
2300,F16,Behavioural Public Politics,15/16,Behavioural Public Politics, Behavioural Public Politics, UDBUD: Behavioural Public Politics,ASTK15388U ,1
