module,error,studyyear,institute_num
2200-F16;MikroÃ¸konomi I (tidl. Mikro A),0,15/16,2200
2200-F16;MikroÃ¸konomi II (tidl. Mikro B),0,15/16,2200
2200-F16;MakroÃ¸konomi I (tidl Makro A),0,15/16,2200
2200-F16;MakroÃ¸konomi II (tidl Makro B),0,15/16,2200
2200-F16;Sandsynlighedsteori og statistik (tidl Ã˜konometri A),0,15/16,2200
2200-F16;Econometrics I,0,15/16,2200
2200-F16;Ã˜konomisk historie (undervisning),0,15/16,2200
2200-F16;Philosophy of Science (undervisning),0,15/16,2200
2200-F16;Microeconomics III (Micro C),0,15/16,2200
2200-F16;Macroeconomics III (Macro C),0,15/16,2200
2200-F16;Economics of Welfare (class),0,15/16,2200
2200-F16;Datamatik 1 (undervisning),0,15/16,2200
2200-F16;Development Economics (class),0,15/16,2200
2200-F16;Economic Growth,0,15/16,2200
2200-F16;Erhvervsret (undervisning),0,15/16,2200
2200-F16;Industrial Organization (class),0,15/16,2200
2200-F16;International Economics (class),0,15/16,2200
2200-F16;Offentlig udgiftspolitik (undervisning),1,15/16,2200
2200-F16;Private Equity (class),0,15/16,2200
2200-F16;Public Finance (class),0,15/16,2200
2200-F16;Regnskabsanalyse og aktievurdering (undervisning),0,15/16,2200
2200-F16;Skatteret (undervisning),0,15/16,2200
2200-F16;Programmering og Statistik med SAS (undervisning),0,15/16,2200
2200-F16;ICT-Applied (class),0,15/16,2200
2200-F16;Economics of Banking (class),0,15/16,2200
2200-F16;Managerial Accounting,0,15/16,2200
"2200-F16;MiljÃ¸-, ressource- og klimaÃ¸konomi",0,15/16,2200
2200-F16;Pricing Financial assets,0,15/16,2200
2200-F16;Marketing,0,15/16,2200
2200-F16;StikprÃ¸veteori,1,15/16,2200
2200-F16;The Psychology of Choice - Experimental Theory and Methods,0,15/16,2200
2200-F16;International Finance (class),1,15/16,2200
2200-F16;Financial Markets (class),0,15/16,2200
2200-F16;Family Economics,1,15/16,2200
2200-F16;Labour Economics (class),0,15/16,2200
2200-F16;Fixed Income Derivatives (Class),0,15/16,2200
2200-F16;Adv. Macroeconometrics,0,15/16,2200
2200-F16;Mechanism Design (English exam),0,15/16,2200
2200-F16;Monetary Policy,0,15/16,2200
2200-F16;Health Economic Evaluations,0,15/16,2200
2200-F16;InterdisciplinÃ¦r problemlÃ¸sning: Cases fra arbejdsmarkedet i GrÃ¸nland,1,15/16,2200
2200-F16;Specialeskrivning,1,15/16,2200
2200-F16;Offentlig Forvaltning - Jura og Politik,0,15/16,2200
"2200-F16;Dynamic Programming - Theory, Computation, and Empirical Applications",0,15/16,2200
2200-F16;Economic Sociology,0,15/16,2200
2200-F16;Ã˜konomiske prognoser i praksis (undervisning),0,15/16,2200
2200-E15;Financial Econometrics A,0,15/16,2200
2200-E15;Forvaltningsret (undervisning),0,15/16,2200
2200-E15;Ã˜velse: Cost-Benefit analyser i praksis,0,15/16,2200
2200-E15;Seminar: Strategic Management,0,15/16,2200
2200-E15;Ã˜velse: VelfÃ¦rdsstatens udfordringer,0,15/16,2200
2200-E15;Ã˜velse: Virksomhedsanalyse og vÃ¦rdiansÃ¦ttelse,0,15/16,2200
2200-E15;Seminar: Applied Corporate Finance,0,15/16,2200
2200-E15;Seminar: Leadership and Project Management,0,15/16,2200
2200-E15;Seminar: Behavioral Economics in ActionÂ ,1,15/16,2200
2200-E15;Seminar: Economic and Political Development in Latin America,1,15/16,2200
2200-E15;Seminar: Financial Market Microstructure,0,15/16,2200
2200-E15;Seminar: Experiments in Economics,0,15/16,2200
2200-E15;Sem: Policy Evaluation Methods,0,15/16,2200
2200-E15;Sem: Discrete Choice Modeling,1,15/16,2200
2200-E15;Sem: Macro Labour Economics,0,15/16,2200
2200-E15;Sem: Health economic analysis,0,15/16,2200
2200-E15;Seminar: Measuring health,1,15/16,2200
2200-E15;Seminar:Bayesian econometrics,0,15/16,2200
2200-E15;Seminar: Advanced Monetary Macroeconomics,1,15/16,2200
"2200-E15;Ã˜velse: MiljÃ¸-,  ressource og klimaÃ¸konomi",1,15/16,2200
2200-E15;Seminar: Advanced Microeconometrics,1,15/16,2200
2200-E15;Ã˜velse: Produktivitetspolitik,1,15/16,2200
2200-F16;Seminar: Telecommunications Economics,1,15/16,2200
2200-F16;Seminar: Development Economics and Microeconometrics,1,15/16,2200
2200-F16;Seminar: Strategic Management,0,15/16,2200
2200-F16;Seminar: Applied Corporate Finance,0,15/16,2200
2200-F16;Seminar: Behavioral Economics in ActionÂ ,1,15/16,2200
2200-F16;Seminar: Policy Evaluation Methods,0,15/16,2200
2200-F16;Sem: Discrete Choice Modeling,1,15/16,2200
2200-F16;Foundations of Behavioral Economics,0,15/16,2200
2200-F16;Seminar:Empirical Econ. Growth,1,15/16,2200
2200-F16;Seminar: Economics of Education,0,15/16,2200
2200-F16;Seminar: Fundamental Determinants of Economic Performance,0,15/16,2200
2200-F16;Seminar: Economic Growth and Biocultural Evolution,1,15/16,2200
2200-F16;Seminar: Globalization & Labor Markets,0,15/16,2200
2200-F16;Seminar: Public economics,0,15/16,2200
2200-F16;Seminar: Applied Game Theory,1,15/16,2200
2200-F16;Ã˜velse: Globalisering og Dansk velfÃ¦rd,1,15/16,2200
2200-F16;Seminar: Study a Classical Writer,1,15/16,2200
2200-F16;Ã˜velse: Danmark og Bankunionen,0,15/16,2200
2200-F16;Seminar: Economics of Privacy,1,15/16,2200
2200-F16;Seminar: Financing of the health care sector,0,15/16,2200
2200-F16;Seminar: Behavioral Economics at Work,1,15/16,2200
2200-F16;Seminar: Empirical Health Economics,0,15/16,2200
2200-E15;Advanced Industrial Organization (class),0,15/16,2200
2200-E15;Advanced Macroeconomics,0,15/16,2200
2200-E15;Advanced Microeconometrics (class),0,15/16,2200
2200-E15;Behavioral Economics and Finance 7Â½ ECTS (class),0,15/16,2200
2200-E15;Econometrics II (Econometrics C),0,15/16,2200
2200-E15;Bachelor projekt,1,15/16,2200
2200-E15;Advanced Development Economics - Macro Aspects (class),0,15/16,2200
2200-E15;LineÃ¦re modeller,0,15/16,2200
2200-E15;Dynamiske modeller (undervisning),0,15/16,2200
2200-E15;Anvendte generelle ligevÃ¦gtsmodeller (undervisning),0,15/16,2200
2200-E15;Ã˜konomiske Principper A (undervisning),0,15/16,2200
2200-E15;Ã˜konomiske Principper B (undervisning),0,15/16,2200
2200-E15;Samfundsbeskrivelse A (undervisning),0,15/16,2200
2200-E15;Samfundsbeskrivelse B (undervisning),0,15/16,2200
2200-E15;ErhvervsÃ¸konomi (undervisning),0,15/16,2200
2200-E15;Matematik A (undervisning),0,15/16,2200
2200-E15;Matematik B (undervisning),0,15/16,2200
2200-E15;MikroÃ¸konomi I (tidl. Mikro A),0,15/16,2200
2200-E15;MikroÃ¸konomi II (tidl. Mikro B),0,15/16,2200
2200-E15;MakroÃ¸konomi I (tidl Makro A),0,15/16,2200
2200-E15;MakroÃ¸konomi II (tidl Makro B),0,15/16,2200
2200-E15;Sandsynlighedsteori og statistik (tidl Ã˜konometri A),0,15/16,2200
2200-E15;Ã˜konometri I (tidl Ã˜konometri B),0,15/16,2200
2200-E15;Ã˜konomisk historie (undervisning),0,15/16,2200
2200-E15;Microeconomics III (Micro C),0,15/16,2200
2200-E15;Macroeconomics III (Macro C),0,15/16,2200
2200-E15;Contract Theory and the Economics of Organization (class),1,15/16,2200
2200-E15;Corporate Finance and Incentives (undervisning),0,15/16,2200
2200-E15;Datamatik 1 (undervisning),0,15/16,2200
2200-E15;Health Economics (class),0,15/16,2200
2200-E15;The Danish Welfare Model (class),0,15/16,2200
2200-E15;History of Economic thought (class),0,15/16,2200
2200-E15;Game Theory (class),0,15/16,2200
2200-E15;ICT-Applied (class),0,15/16,2200
2200-E15;International Monetary Economics (class),1,15/16,2200
2200-E15;International Trade and Investment (class),1,15/16,2200
2200-E15;Multivariat analyse og kategoriserede data (undervisning),0,15/16,2200
2200-E15;Operation research (class),0,15/16,2200
2200-E15;Strategic Management (class),0,15/16,2200
2200-E15;Tax Policy (class),0,15/16,2200
2200-E15;Telecommunications Economics (class),0,15/16,2200
2200-E15;Economics of the European Union (class),0,15/16,2200
2200-E15;Ã˜konomiske prognoser i praksis (undervisning),1,15/16,2200
2200-E15;Ã…rsregnskab og regnskabsanalyse (undervisning),0,15/16,2200
2200-E15;Political Economics (class),0,15/16,2200
2200-E15;Demography (class),1,15/16,2200
2200-E15;Corporate Finance Theory,0,15/16,2200
"2200-E15;Financial Frictions, Liquidity and the Business Cycle",0,15/16,2200
2200-E15;Praktisk tidsrÃ¦kkeanalyse,1,15/16,2200
2200-E15;Economics of Education (english exam),0,15/16,2200
2200-E15;Adv. Dev. Ec. : Applied Macroeconomics and Policy Analysis,0,15/16,2200
2200-E15;Offentlig forvaltning og politik,1,15/16,2200
2200-E15;Science of Behavior Change (English),0,15/16,2200
2200-E15;International Macroeconomics,0,15/16,2200
2200-E15;Advanced International Trade,0,15/16,2200
2200-E15;Social Data Science,0,15/16,2200
2200-E15;Organizations and Incentives (GB),0,15/16,2200
2200-E15;Anvendte generelle ligevÃ¦gtsmodeller,0,15/16,2200
2200-E15;Specialeskrivning,1,15/16,2200
2300-E15;Politologisk grundkursus,0,15/16,2300
2300-E15;Politisk teori og idÃ©historie,0,15/16,2300
2300-E15;Videnskabsteori og metodologi,0,15/16,2300
2300-F16;Metode 2,0,15/16,2300
2300-F16;International forvaltning,0,15/16,2300
2300-F16;Offentlig ret,0,15/16,2300
2300-F16;Bachelorprojekt,0,15/16,2300
2300-F16;Offentlig ret,0,15/16,2300
2300-F16;Sociologi,0,15/16,2300
2300-F16;Almen Statskundskab,0,15/16,2300
2300-F16;MikroÃ¸konomi,0,15/16,2300
2300-F16;Politisk deltagelse og mobilisering,0,15/16,2300
2300-F16;Jean Monnet: The EU as an International Actor,0,15/16,2300
2300-F16;Jean Monnet: The EU as an International Actor,0,15/16,2300
2300-F16;Jean Monnet: The EU as an International Actor,0,15/16,2300
2300-F16;Ethnic Conflict.,0,15/16,2300
2300-F16;Ethnic Conflict.,0,15/16,2300
2300-F16;Ethnic Conflict.,0,15/16,2300
2300-F16;African politics.,0,15/16,2300
2300-F16;African politics.,0,15/16,2300
2300-F16;African politics.,0,15/16,2300
2300-F16;The Politics and Economics of Aid.,0,15/16,2300
2300-F16;The Politics and Economics of Aid.,0,15/16,2300
2300-F16;The Politics and Economics of Aid.,0,15/16,2300
2300-F16;Globalization and the European Union.,0,15/16,2300
2300-F16;Globalization and the European Union.,0,15/16,2300
2300-F16;Globalization and the European Union.,0,15/16,2300
2300-F16;The Rise of the Rest: Western and Non-Western Perspectives.,1,15/16,2300
2300-F16;The Rise of the Rest: Western and Non-Western Perspectives.,1,15/16,2300
2300-F16;The Rise of the Rest: Western and Non-Western Perspectives.,1,15/16,2300
2300-F16;Theories and Issues in International Political Economy.,0,15/16,2300
2300-F16;Theories and Issues in International Political Economy.,0,15/16,2300
2300-F16;Theories and Issues in International Political Economy.,0,15/16,2300
"2300-F16;Multipolarity, multilateralism and megatrade agreements: A new global trading order?",0,15/16,2300
"2300-F16;Multipolarity, multilateralism and megatrade agreements: A new global trading order?",0,15/16,2300
"2300-F16;Multipolarity, multilateralism and megatrade agreements: A new global trading order?",0,15/16,2300
2300-F16;Sociological Approaches in International Relations,0,15/16,2300
2300-F16;Sociological Approaches in International Relations,0,15/16,2300
2300-F16;Sociological Approaches in International Relations,0,15/16,2300
"2300-F16;Finanspolitik og den offentlige sektor. Fokus pÃ¥ teori og praksis i Danmark, dvs. stat, regioner og kommuner.",0,15/16,2300
"2300-F16;Finanspolitik og den offentlige sektor. Fokus pÃ¥ teori og praksis i Danmark, dvs. stat, regioner og kommuner.",0,15/16,2300
"2300-F16;Finanspolitik og den offentlige sektor. Fokus pÃ¥ teori og praksis i Danmark, dvs. stat, regioner og kommuner.",0,15/16,2300
2300-F16;Introduction to Game Theory.,0,15/16,2300
2300-F16;Introduction to Game Theory.,0,15/16,2300
2300-F16;Introduction to Game Theory.,0,15/16,2300
2300-F16;Globalization and economic policy.,0,15/16,2300
2300-F16;Globalization and economic policy.,0,15/16,2300
2300-F16;Globalization and economic policy.,0,15/16,2300
2300-F16;Advanced Quantitative Methods in Political Science.,0,15/16,2300
2300-F16;Advanced Quantitative Methods in Political Science.,0,15/16,2300
2300-F16;Advanced Quantitative Methods in Political Science.,0,15/16,2300
2300-F16;Politisk deltagelse og mobilisering,0,15/16,2300
2300-F16;Fattigdom og ulighed.,0,15/16,2300
2300-F16;Fattigdom og ulighed.,0,15/16,2300
"2300-F16;Folketing, Minister og Forvaltning.",1,15/16,2300
"2300-F16;Folketing, Minister og Forvaltning.",1,15/16,2300
2300-F16;KÃ¸n og Politik,0,15/16,2300
2300-F16;KÃ¸n og Politik,0,15/16,2300
2300-F16;Contemporary Political Theory.,0,15/16,2300
2300-F16;Contemporary Political Theory.,0,15/16,2300
2300-F16;I Slotsholmens maskinrum: Ã˜konomiske perspektiver pÃ¥ policydesign i den danske velfÃ¦rdsstat.,0,15/16,2300
2300-F16;I Slotsholmens maskinrum: Ã˜konomiske perspektiver pÃ¥ policydesign i den danske velfÃ¦rdsstat.,0,15/16,2300
2300-F16;Viden og evidens i politik og praksis.,0,15/16,2300
2300-F16;Viden og evidens i politik og praksis.,0,15/16,2300
2300-F16;SÃ¥dan tÃ¦nker journalister,0,15/16,2300
2300-F16;SÃ¥dan tÃ¦nker journalister,0,15/16,2300
2300-F16;Dansk udenrigspolitik efter den kolde krig: Teori og empiri.,0,15/16,2300
2300-F16;Dansk udenrigspolitik efter den kolde krig: Teori og empiri.,0,15/16,2300
2300-F16;Advanced political economy of the EU.,0,15/16,2300
2300-F16;Advanced political economy of the EU.,0,15/16,2300
2300-F16;Byer og regioner som vÃ¦kstdrivere Â¿ analyser og initiativer.,0,15/16,2300
2300-F16;Byer og regioner som vÃ¦kstdrivere - analyser og initiativer.,0,15/16,2300
2300-F16;VideregÃ¥ende kvalitative analyser med NVivo.,0,15/16,2300
2300-F16;VideregÃ¥ende kvalitative analyser med NVivo.,0,15/16,2300
2300-F16;Academic Interviews,0,15/16,2300
2300-F16;Academic Interviews,0,15/16,2300
2300-F16;Glocal Environmental Governance.,1,15/16,2300
2300-F16;European Union as Global Actor.,1,15/16,2300
2300-F16;European Union as Global Actor.,1,15/16,2300
2300-F16;Skriftlig og digital formidling.,0,15/16,2300
2300-F16;Skriftlig og digital formidling.,0,15/16,2300
"2300-F16;Det finansielle system - Funktion, krise og regulering.",0,15/16,2300
"2300-F16;Det finansielle system - Funktion, krise og regulering.",0,15/16,2300
"2300-F16;Det finansielle system - Funktion, krise og regulering.",0,15/16,2300
2300-F16;An American Perspective on Political Campaigns.,0,15/16,2300
2300-F16;An American Perspective on Political Campaigns.,0,15/16,2300
2300-F16;An American Perspective on Political Campaigns.,0,15/16,2300
2300-F16;Comparative lobbying and lobbying regulations.,0,15/16,2300
2300-F16;Comparative lobbying and lobbying regulations.,0,15/16,2300
2300-F16;Comparative lobbying and lobbying regulations.,0,15/16,2300
2300-F16;Governments in parliamentary democracies. Who gets in? Who gets what? How long do they last?,0,15/16,2300
2300-F16;Governments in parliamentary democracies. Who gets in? Who gets what? How long do they last?,0,15/16,2300
2300-F16;Governments in parliamentary democracies. Who gets in? Who gets what? How long do they last?,0,15/16,2300
2300-F16;Comparative Public Policy.,1,15/16,2300
2300-F16;Comparative Public Policy.,1,15/16,2300
2300-F16;Comparative Public Policy.,1,15/16,2300
"2300-F16;Authority, Sovereignty, Power.",0,15/16,2300
"2300-F16;Authority, Sovereignty, Power.",0,15/16,2300
"2300-F16;Authority, Sovereignty, Power.",0,15/16,2300
2300-F16;Democratic Challenge.,0,15/16,2300
2300-F16;Democratic Challenge.,0,15/16,2300
2300-F16;Democratic Challenge,0,15/16,2300
2300-F16;Democratic Challenge,0,15/16,2300
2300-F16;Democratic Challenge,0,15/16,2300
2300-F16;Strategisk styring i den offentlige sektor.,0,15/16,2300
2300-F16;Strategisk styring i den offentlige sektor.,0,15/16,2300
2300-F16;Medier og politik.,0,15/16,2300
2300-F16;Behavioural Public Politics,0,15/16,2300
2300-F16;Behavioural Public Politics,0,15/16,2300
2300-F16;International Organizations and Cooperation.,0,15/16,2300
2300-F16;International Organizations and Cooperation.,0,15/16,2300
"2300-F16;The politics of international banking - Power, finances and the struggle to regulate banks after the crisis.",0,15/16,2300
"2300-F16;The politics of international banking - Power, finances and the struggle to regulate banks after the crisis.",0,15/16,2300
"2300-F16;Forsvarspolitik og Strategisk Ledelse: Scenarier, Trusler og Beslutninger.",0,15/16,2300
"2300-F16;Forsvarspolitik og Strategisk Ledelse: Scenarier, Trusler og Beslutninger.",0,15/16,2300
"2300-F16;Forsvarspolitik og Strategisk Ledelse: Scenarier, Trusler og Beslutninger.",0,15/16,2300
2300-F16;Fredsprocessen i mellemÃ¸sten.,1,15/16,2300
2300-F16;Fredsprocessen i mellemÃ¸sten.,1,15/16,2300
2300-F16;Fredsprocessen i mellemÃ¸sten.,1,15/16,2300
2300-F16;Understanding Neoliberalism: Introduction to theories of Neoliberalism in IPE.,0,15/16,2300
2300-F16;Understanding Neoliberalism: Introduction to theories of Neoliberalism in IPE.,0,15/16,2300
2300-F16;Understanding Neoliberalism: Introduction to theories of Neoliberalism in IPE.,0,15/16,2300
2300-F16;Armed Groups in the Middle East.,0,15/16,2300
2300-F16;Armed Groups in the Middle East.,0,15/16,2300
2300-F16;Armed Groups in the Middle East.,0,15/16,2300
2300-F16;The Israeli-Palestinian Conflict.,1,15/16,2300
2300-F16;The Israeli-Palestinian Conflict.,1,15/16,2300
2300-F16;The Israeli-Palestinian Conflict.,1,15/16,2300
2300-F16;Medier og politik.,0,15/16,2300
2300-F16;Medier og politik.,0,15/16,2300
2300-F16;Strategisk styring i den offentlige sektor.,0,15/16,2300
2300-F16;Glocal Environmental Governance.,1,15/16,2300
2300-F16;Righting Wrongs or Wronging Rights? Human Rights and their Discontents,0,15/16,2300
2300-F16;Righting Wrongs or Wronging Rights? Human Rights and their Discontents,0,15/16,2300
2300-F16;Righting Wrongs or Wronging Rights? Human Rights and their Discontents,0,15/16,2300
"2300-F16;The politics of international banking - Power, finances and the struggle to regulate banks after the crisis.",0,15/16,2300
2300-F16;Organisation Management and Risk Communication,1,15/16,2300
"2300-B5-5F15;The Rise of China in Domestic, Regional and Global Contexts",1,15/16,2300
2300-B5-5F15;Dansk forsvarspolitik og strategiske studier,1,15/16,2300
2300-B5-5F15;External Relations of the European Union,1,15/16,2300
2300-B5-5F15;Economic crises: A brief history of time,1,15/16,2300
2300-B5-5F15;Micro- and Macro democracy - Democratic perspectives for the future,1,15/16,2300
2300-B5-5F15;Det Ã¸konomiske-politiske samarbejde I EU,1,15/16,2300
"2300-B5-5F15;The rise of the modern state: emergence, consolidation, transformation - theoretical perspectives, empirical evidence: China and Europe compared",1,15/16,2300
2300-B5-5F15;Evaluation Society Revisited,1,15/16,2300
2300-B5-5F15;State-Building and War-Making in the Contemporary Developing World,1,15/16,2300
2300-B5-5F15;Crisis Diplomacy,1,15/16,2300
"2300-B5-5F16;Euroscepticism, Populism, and Democracy in the EU.",1,15/16,2300
"2300-B5-5F16;Euroscepticism, Populism, and Democracy in the EU.",1,15/16,2300
"2300-B5-5F16;Euroscepticism, Populism, and Democracy in the EU.",1,15/16,2300
2300-B5-5F16;Digital Diplomacy.,1,15/16,2300
2300-B5-5F16;Digital Diplomacy.,1,15/16,2300
2300-B5-5F16;Digital Diplomacy.,1,15/16,2300
"2300-B5-5F16;Greenland at the crossroads: Climate Change, Asian interests in the Arctic and developments in Greenland",1,15/16,2300
"2300-B5-5F16;Greenland at the crossroads: Climate Change, Asian interests in the Arctic and developments in Greenland",1,15/16,2300
"2300-B5-5F16;Greenland at the crossroads: Climate Change, Asian interests in the Arctic and developments in Greenland",1,15/16,2300
2300-B5-5F16;Economic crisis: A brief history of time.,1,15/16,2300
2300-B5-5F16;Economic crisis: A brief history of time.,1,15/16,2300
2300-B5-5F16;Economic crisis: A brief history of time.,1,15/16,2300
2300-B5-5F16;Evaluation Society Revisited.,1,15/16,2300
2300-B5-5F16;Evaluation Society Revisited.,1,15/16,2300
2300-B5-5F16;Evaluation Society Revisited.,1,15/16,2300
2300-B5-5F16;Dansk forsvarspolitik og strategiske studier,1,15/16,2300
2300-B5-5F16;Participatory and postnational Democracy - Democratic perspectives for the future.,1,15/16,2300
2300-B5-5F16;Nye former for politisk deltagelse.,1,15/16,2300
2300-B5-5F16;EU`s politiske Ã¸konomi,1,15/16,2300
2300-B5-5F16;Dansk forsvarspolitik og strategiske studier,1,15/16,2300
2300-B5-5F16;Participatory and postnational Democracy - Democratic perspectives for the future.,1,15/16,2300
2300-B5-5F16;Nye former for politisk deltagelse.,1,15/16,2300
2300-B5-5F16;EU`s politiske Ã¸konomi,1,15/16,2300
2300-B5-5F16;Dansk forsvarspolitik og strategiske studier,1,15/16,2300
2300-B5-5F16;Participatory and postnational Democracy - Democratic perspectives for the future.,1,15/16,2300
2300-B5-5F16;Nye former for politisk deltagelse.,1,15/16,2300
2300-B5-5F16;EU`s politiske Ã¸konomi,1,15/16,2300
2300-E15;Fri opgave uden for udbud (Politologisk),1,15/16,2300
2300-E15;Synopsiseksamen uden for udbud (politologisk),1,15/16,2300
2300-E15;Fri opgave uden for udbud (Politologisk),1,15/16,2300
2300-E15;Fri opgave uden for udbud (Politologisk),1,15/16,2300
2300-E15;Synopsiseksamen 2 uden for udbud (Politiologisk),1,15/16,2300
2300-E15;Fri opgave uden for udbud 1 (Politologisk),1,15/16,2300
2300-E15;Fri opgave uden for udbud 2 (Politologisk),1,15/16,2300
2300-E15;Fri opgave uden for udbud 2 (Politologisk),1,15/16,2300
2300-E15;Fri opgave uden for udbud 2 (Politologisk),1,15/16,2300
2300-E15;Fri opgave uden for udbud 2,1,15/16,2300
2300-E15;Synopsiseksamen uden for udbud 1,1,15/16,2300
2300-E15;Synopsiseksamen uden for udbud 2,1,15/16,2300
2300-F16;Fri opgave uden for udbud (12.5 ECTS),1,15/16,2300
2300-F16;Fri opgave uden for udbud (Politologisk),1,15/16,2300
2300-F16;Fri opgave uden for udbud (Politologisk),1,15/16,2300
2300-F16;Fri opgave uden for udbud (Politologisk),1,15/16,2300
2300-F16;Synopsiseksamen uden for udbud 1,1,15/16,2300
2300-F16;Synopsiseksamen uden for udbud 2,1,15/16,2300
2300-F16;Fri opgave uden for udbud 1 (Politologisk),1,15/16,2300
2300-F16;Fri opgave uden for udbud 2,1,15/16,2300
2300-F16;Synopsiseksamen 2 uden for udbud (Politiologisk),1,15/16,2300
2300-F16;Fri opgave uden for udbud 2 (Politologisk),1,15/16,2300
2300-F16;Fri opgave uden for udbud 2 (Politologisk),1,15/16,2300
2300-F16;Fri opgave uden for udbud 2 (Politologisk),1,15/16,2300
2300-F16;Synopsiseksamen uden for udbud (politologisk),1,15/16,2300
2300-F16;Projektorienteret forlÃ¸b (politologisk fag) 15 ects,1,15/16,2300
2300-F16;Projektorienteret forlÃ¸b (samfundsvidenskabeligt fag) 30 ects,1,15/16,2300
2300-F16;Projektorienteret forlÃ¸b (politologisk fag) 7.5 ects,1,15/16,2300
2300-F16;Projektorienteret forlÃ¸b (politologisk fag) 22.5 ects,1,15/16,2300
2300-F16;Projektorienteret forlÃ¸b (politologisk fag) 30 ects,1,15/16,2300
2300-F16;Holdets Time,0,15/16,2300
2300-F16;Thesis seminar,0,15/16,2300
2300-F16;Organizational Management and Leadership.,0,15/16,2300
2300-E15;New approached to Elections and Public opinion,0,15/16,2300
2300-E15;New approached to Elections and Public opinion,0,15/16,2300
2300-E15;International politik,0,15/16,2300
2300-E15;Metode 1,0,15/16,2300
2300-E15;International politik,0,15/16,2300
2300-E15;Offentlig ret,0,15/16,2300
2300-E15;Bachelorprojekt,0,15/16,2300
2300-E15;Holdets Time,0,15/16,2300
2300-E15;Specialeseminar,0,15/16,2300
2300-E15;Effektstyring i den offentlige sektor,0,15/16,2300
2300-E15;Offentlig ret,0,15/16,2300
2300-E15;Sammenlignende Statskundskab,0,15/16,2300
2300-E15;MakroÃ¸konomi,0,15/16,2300
2300-E15;Jean Monnet The Politics of the European Union - Central Structures and Processes of the EU,0,15/16,2300
2300-E15;Bargaining and International Politics.,0,15/16,2300
2300-E15;Critical IR and Security Studies: the postcolonial challenge,0,15/16,2300
2300-E15;Climate politics from the global to the local level,0,15/16,2300
2300-E15;International Organizations and Cooperation,1,15/16,2300
2300-E15;Ideas in Political Science and International Relations,0,15/16,2300
2300-E15;Effektstyring i den offentlige sektor,0,15/16,2300
2300-E15;Diplomati i forandring,0,15/16,2300
2300-E15;BudgetlÃ¦gning og Ã¸konomistyring i staten,0,15/16,2300
2300-E15;Geopolitisk teori og analyse,1,15/16,2300
2300-E15;MellemÃ¸sten og den aktuelle verdensorden,0,15/16,2300
2300-E15;`Os og dem?` - Indvandrings- og integrationspolitik i Vesteuropa,0,15/16,2300
2300-E15;VideregÃ¥ende kvantitative metoder,0,15/16,2300
2300-E15;VideregÃ¥ende kvalitative analyser med NVivo,0,15/16,2300
2300-E15;Massen - mellem barbari og civilisation,0,15/16,2300
